"NAME";"(O)NAME";"DATE_OF_BIRTH";"(O)DATE_OF_BIRTH";"PLACE_OF_BIRTH";"(O)PLACE_OF_BIRTH"
"Shane Battier";"Shane Battier";"1978-09-09";"1978-09-09";"Birmingham";"birmingham"
"J. R. Smith";"J.R. Smith";"1985-09-09";"1985-09-09";"Freehold Borough";"freehold"
"J. R. Smith";"J.R. Smith";"1985-09-09";"1985-09-09";"Freehold Borough";"freehold"
"J. R. Smith";"J.R. Smith";"1985-09-09";"1985-09-09";"Freehold Borough";"freehold"
"Rudy Gay";"Rudy Gay";"1986-08-17";"1986-08-17";"Baltimore";"baltimore"
"Rudy Gay";"Rudy Gay";"1986-08-17";"1986-08-17";"Baltimore";"baltimore"
"Rudy Gay";"Rudy Gay";"1986-08-17";"1986-08-17";"Baltimore";"baltimore"
"Lamar Odom";"Lamar Odom";"1979-11-06";"1979-11-06";"South Jamaica";"jamaica"
"Lamar Odom";"Lamar Odom";"1979-11-06";"1979-11-06";"South Jamaica";"jamaica"
"Lamar Odom";"Lamar Odom";"1979-11-06";"1979-11-06";"South Jamaica";"jamaica"
"Festus Ezeli";"Festus Ezeli";"1989-10-21";"1989-10-21";"Benin City";"nigeria"
"Festus Ezeli";"Festus Ezeli";"1989-10-21";"1989-10-21";"Benin City";"nigeria"
"Stephen Curry";"Stephen Curry";"1988-03-14";"1988-03-14";"Akron";"charlotte"
"Stephen Curry";"Stephen Curry";"1988-03-14";"1988-03-14";"Akron";"charlotte"
"Draymond Green";"Draymond Green";"1990-03-04";"1990-03-04";"Saginaw";"saginaw"
"Draymond Green";"Draymond Green";"1990-03-04";"1990-03-04";"Saginaw";"saginaw"
"Draymond Green";"Draymond Green";"1990-03-04";"1990-03-04";"Saginaw";"saginaw"
"Harrison Barnes";"Harrison Barnes";"1992-05-30";"1992-05-30";"Ames";"ames"
"Harrison Barnes";"Harrison Barnes";"1992-05-30";"1992-05-30";"Ames";"ames"
"Harrison Barnes";"Harrison Barnes";"1992-05-30";"1992-05-30";"Ames";"ames"
"Stephen Curry";"Stephen Curry";"1988-03-14";"1988-03-14";"Akron";"charlotte"
"Carmelo Anthony";"Carmelo Anthony";"1984-05-29";"1984-05-29";"Red Hook";"newyork"
"Jermaine O'Neal";"Jermaine O'Neal";"1978-10-13";"1978-10-13";"Columbia";"columbia"
"Jermaine O'Neal";"Jermaine O'Neal";"1978-10-13";"1978-10-13";"Columbia";"columbia"
"Carmelo Anthony";"Carmelo Anthony";"1984-05-29";"1984-05-29";"Red Hook";"newyork"
"Steve Blake";"Steve Blake";"1980-02-26";"1980-02-26";"Hollywood";"hollywood"
"Carmelo Anthony";"Carmelo Anthony";"1984-05-29";"1984-05-29";"Red Hook";"newyork"
"Steve Blake";"Steve Blake";"1980-02-26";"1980-02-26";"Hollywood";"hollywood"
"Steve Blake";"Steve Blake";"1980-02-26";"1980-02-26";"Hollywood";"hollywood"
"Marreese Speights";"Marreese Speights";"1987-08-04";"1987-08-04";"St. Petersburg";
"Marreese Speights";"Marreese Speights";"1987-08-04";"1987-08-04";"St. Petersburg";
"Marreese Speights";"Marreese Speights";"1987-08-04";"1987-08-04";"St. Petersburg";
"Andrew Bogut";"Andrew Bogut";"1984-11-28";"1984-11-28";"Endeavour Hills";"australia"
"Andrew Bogut";"Andrew Bogut";"1984-11-28";"1984-11-28";"Endeavour Hills";"australia"
"Andrew Bogut";"Andrew Bogut";"1984-11-28";"1984-11-28";"Endeavour Hills";"australia"
"Cole Aldrich";"Cole Aldrich";"1988-10-31";"1988-10-31";"Burnsville";"burnsville"
"Cole Aldrich";"Cole Aldrich";"1988-10-31";"1988-10-31";"Burnsville";"burnsville"
"Tyson Chandler";"Tyson Chandler";"1982-10-02";"1982-10-02";"Hanford";"hanford"
"Klay Thompson";"Klay Thompson";"1990-02-08";"1990-02-08";"Los Angeles";"losangeles"
"Klay Thompson";"Klay Thompson";"1990-02-08";"1990-02-08";"Los Angeles";"losangeles"
"Klay Thompson";"Klay Thompson";"1990-02-08";"1990-02-08";"Los Angeles";"losangeles"
"Tyson Chandler";"Tyson Chandler";"1982-10-02";"1982-10-02";"Hanford";"hanford"
"Tyson Chandler";"Tyson Chandler";"1982-10-02";"1982-10-02";"Hanford";"hanford"
"Raymond Felton";"Raymond Felton";"1984-06-26";"1984-06-26";"Marion";"marion"
"Raymond Felton";"Raymond Felton";"1984-06-26";"1984-06-26";"Marion";"marion"
"Raymond Felton";"Raymond Felton";"1984-06-26";"1984-06-26";"Marion";"marion"
"Sasha Vuja?i?";"Sasha Vujacic";"1984-03-08";"1984-03-08";"Maribor";"yugoslavia"
"Stephen Jackson";"Stephen Jackson";"1978-04-05";"1978-04-05";"Port Arthur";"houston"
"Stephen Jackson";"Stephen Jackson";"1978-04-05";"1978-04-05";"Port Arthur";"houston"
"Stephen Jackson";"Stephen Jackson";"1978-04-05";"1978-04-05";"Port Arthur";"houston"
"Stephen Jackson";"Stephen Jackson";"1978-04-05";"1978-04-05";"Port Arthur";"houston"
"Maalik Wayns";"Maalik Wayns";"1991-05-02";"1991-05-02";"Philadelphia";"philadelphia"
"Maalik Wayns";"Maalik Wayns";"1991-05-02";"1991-05-02";"Philadelphia";"philadelphia"
"Maalik Wayns";"Maalik Wayns";"1991-05-02";"1991-05-02";"Philadelphia";"philadelphia"
"Antawn Jamison";"Antawn Jamison";"1976-06-12";"1976-06-12";"Shreveport";"shreveport"
"Antawn Jamison";"Antawn Jamison";"1976-06-12";"1976-06-12";"Shreveport";"shreveport"
"Antawn Jamison";"Antawn Jamison";"1976-06-12";"1976-06-12";"Shreveport";"shreveport"
"Antawn Jamison";"Antawn Jamison";"1976-06-12";"1976-06-12";"Shreveport";"shreveport"
"Pablo Prigioni";"Pablo Prigioni";"1977-05-17";"1977-03-17";"Río Tercero";"argentina"
"Pablo Prigioni";"Pablo Prigioni";"1977-05-17";"1977-03-17";"Río Tercero";"argentina"
"Pablo Prigioni";"Pablo Prigioni";"1977-05-17";"1977-03-17";"Río Tercero";"argentina"
"J. J. Redick";"J.J. Redick";"1984-06-24";"1984-06-24";"Cookeville";"cookeville"
"J. J. Redick";"J.J. Redick";"1984-06-24";"1984-06-24";"Cookeville";"cookeville"
"J. J. Redick";"J.J. Redick";"1984-06-24";"1984-06-24";"Cookeville";"cookeville"
"Jamal Crawford";"Jamal Crawford";"1980-03-20";"1980-03-20";"Seattle";"seattle"
"Jamal Crawford";"Jamal Crawford";"1980-03-20";"1980-03-20";"Seattle";"seattle"
"Jamal Crawford";"Jamal Crawford";"1980-03-20";"1980-03-20";"Seattle";"seattle"
"Glen Davis";"Glen Davis";"1986-01-01";"1986-01-01";"Baton Rouge";"batonrouge"
"Glen Davis";"Glen Davis";"1986-01-01";"1986-01-01";"Baton Rouge";"batonrouge"
"Glen Davis";"Glen Davis";"1986-01-01";"1986-01-01";"Baton Rouge";"batonrouge"
"Matt Barnes";"Matt Barnes";"1980-03-09";"1980-03-09";"Santa Clara";"santaclara"
"Matt Barnes";"Matt Barnes";"1980-03-09";"1980-03-09";"Santa Clara";"santaclara"
"Matt Barnes";"Matt Barnes";"1980-03-09";"1980-03-09";"Santa Clara";"santaclara"
"Darren Collison";"Darren Collison";"1987-08-23";"1987-08-23";"Rancho Cucamonga";"ranchocucamonga"
"Darren Collison";"Darren Collison";"1987-08-23";"1987-08-23";"Rancho Cucamonga";"ranchocucamonga"
"Darren Collison";"Darren Collison";"1987-08-23";"1987-08-23";"Rancho Cucamonga";"ranchocucamonga"
"Jared Dudley";"Jared Dudley";"1985-07-10";"1985-07-10";"San Diego";"sandiego"
"Jared Dudley";"Jared Dudley";"1985-07-10";"1985-07-10";"San Diego";"sandiego"
"Jared Dudley";"Jared Dudley";"1985-07-10";"1985-07-10";"San Diego";"sandiego"
"Hedo Türko?lu";"Hedo Turkoglu";"1979-03-19";"1979-03-19";"Gaziosmanpa?a";"turkey"
"Hedo Türko?lu";"Hedo Turkoglu";"1979-03-19";"1979-03-19";"Gaziosmanpa?a";"turkey"
"Hedo Türko?lu";"Hedo Turkoglu";"1979-03-19";"1979-03-19";"Gaziosmanpa?a";"turkey"
"Willie Green";"Willie Green";"1981-07-28";"1981-07-28";"Detroit";"detroit"
"Willie Green";"Willie Green";"1981-07-28";"1981-07-28";"Detroit";"detroit"
"Danny Granger";"Danny Granger";"1983-04-20";"1983-04-20";"New Orleans";"neworleans"
"Danny Granger";"Danny Granger";"1983-04-20";"1983-04-20";"New Orleans";"neworleans"
"Danny Granger";"Danny Granger";"1983-04-20";"1983-04-20";"New Orleans";"neworleans"
"Iman Shumpert";"Iman Shumpert";"1990-06-26";"1990-06-26";"Oak Park";"oakpark"
"Iman Shumpert";"Iman Shumpert";"1990-06-26";"1990-06-26";"Oak Park";"oakpark"
"Iman Shumpert";"Iman Shumpert";"1990-06-26";"1990-06-26";"Oak Park";"oakpark"
"Caron Butler";"Caron Butler";"1980-03-13";"1980-03-13";"Racine";"racine"
"Caron Butler";"Caron Butler";"1980-03-13";"1980-03-13";"Racine";"racine"
"Caron Butler";"Caron Butler";"1980-03-13";"1980-03-13";"Racine";"racine"
"Andrea Bargnani";"Andrea Bargnani";"1985-10-26";"1985-10-26";"Rome";"italy"
"Andrea Bargnani";"Andrea Bargnani";"1985-10-26";"1985-10-26";"Rome";"italy"
"Andrea Bargnani";"Andrea Bargnani";"1985-10-26";"1985-10-26";"Rome";"italy"
"Eric Maynor";"Eric Maynor";"1987-06-11";"1987-06-11";"Raeford";"raeford"
"Lavoy Allen";"Lavoy Allen";"1989-02-04";"1989-02-04";"Trenton";"morrisville"
"Lavoy Allen";"Lavoy Allen";"1989-02-04";"1989-02-04";"Trenton";"morrisville"
"Eric Maynor";"Eric Maynor";"1987-06-11";"1987-06-11";"Raeford";"raeford"
"Darius Morris";"Darius Morris";"1991-01-03";"1991-01-03";"Los Angeles";"losangeles"
"Darius Morris";"Darius Morris";"1991-01-03";"1991-01-03";"Los Angeles";"losangeles"
"Darius Morris";"Darius Morris";"1991-01-03";"1991-01-03";"Los Angeles";"losangeles"
"Byron Mullens";"Byron Mullens";"1989-02-14";"1989-02-14";"Canal Winchester";"columbus"
"Byron Mullens";"Byron Mullens";"1989-02-14";"1989-02-14";"Canal Winchester";"columbus"
"Arnett Moultrie";"Arnett Moultrie";"1990-11-18";"1990-11-18";"Queens";"queens"
"Arnett Moultrie";"Arnett Moultrie";"1990-11-18";"1990-11-18";"Queens";"queens"
"Xavier Henry";"Xavier Henry";"1991-03-15";"1991-03-15";"Ghent";"belgium"
"Xavier Henry";"Xavier Henry";"1991-03-15";"1991-03-15";"Ghent";"belgium"
"Xavier Henry";"Xavier Henry";"1991-03-15";"1991-03-15";"Ghent";"belgium"
"Tiago Splitter";"Tiago Splitter";"1985-01-01";"1985-01-01";"Blumenau";"brazil"
"Tiago Splitter";"Tiago Splitter";"1985-01-01";"1985-01-01";"Blumenau";"brazil"
"Tiago Splitter";"Tiago Splitter";"1985-01-01";"1985-01-01";"Blumenau";"brazil"
"Ersan ?lyasova";"Ersan Ilyasova";"1987-05-15";"1987-05-15";"Eski?ehir";"turkey"
"Ersan ?lyasova";"Ersan Ilyasova";"1987-05-15";"1987-05-15";"Eski?ehir";"turkey"
"Ersan ?lyasova";"Ersan Ilyasova";"1987-05-15";"1987-05-15";"Eski?ehir";"turkey"
"Kobe Bryant";"Kobe Bryant";"1978-08-23";"1978-08-23";"Philadelphia";"philadelphia"
"Kobe Bryant";"Kobe Bryant";"1978-08-23";"1978-08-23";"Philadelphia";"philadelphia"
"Martell Webster";"Martell Webster";"1986-12-04";"1986-12-04";"Edmonds";"edmonds"
"Kobe Bryant";"Kobe Bryant";"1978-08-23";"1978-08-23";"Philadelphia";"philadelphia"
"Martell Webster";"Martell Webster";"1986-12-04";"1986-12-04";"Edmonds";"edmonds"
"Chris Kaman";"Chris Kaman";"1982-04-28";"1982-04-28";"Grand Rapids";"grandrapids"
"Chris Kaman";"Chris Kaman";"1982-04-28";"1982-04-28";"Grand Rapids";"grandrapids"
"Chris Kaman";"Chris Kaman";"1982-04-28";"1982-04-28";"Grand Rapids";"grandrapids"
"Ömer A??k";"Omer Asik";"1986-07-04";"1986-07-04";"Bursa";"turkey"
"Ömer A??k";"Omer Asik";"1986-07-04";"1986-07-04";"Bursa";"turkey"
"Ömer A??k";"Omer Asik";"1986-07-04";"1986-07-04";"Bursa";"turkey"
"Wesley Johnson";"Wesley Johnson";"1987-07-11";"1987-07-11";"Corsicana";"corsicana"
"Wesley Johnson";"Wesley Johnson";"1987-07-11";"1987-07-11";"Corsicana";"corsicana"
"Wesley Johnson";"Wesley Johnson";"1987-07-11";"1987-07-11";"Corsicana";"corsicana"
"Enes Kanter";"Enes Kanter";"1992-05-20";"1992-05-20";"Zürich";"switzerland"
"Enes Kanter";"Enes Kanter";"1992-05-20";"1992-05-20";"Zürich";"switzerland"
"Enes Kanter";"Enes Kanter";"1992-05-20";"1992-05-20";"Zürich";"switzerland"
"Ryan Kelly";"Ryan Kelly";"1991-04-09";"1991-04-09";"Carmel";"carmel"
"Ryan Kelly";"Ryan Kelly";"1991-04-09";"1991-04-09";"Carmel";"carmel"
"Kent Bazemore";"Kent Bazemore";"1989-07-01";"1989-07-01";"Kelford";"kelford"
"Ryan Kelly";"Ryan Kelly";"1991-04-09";"1991-04-09";"Carmel";"carmel"
"Kent Bazemore";"Kent Bazemore";"1989-07-01";"1989-07-01";"Kelford";"kelford"
"Kent Bazemore";"Kent Bazemore";"1989-07-01";"1989-07-01";"Kelford";"kelford"
"Andre Miller";"Andre Miller";"1976-03-19";"1976-03-19";"Los Angeles";"losangeles"
"Andre Miller";"Andre Miller";"1976-03-19";"1976-03-19";"Los Angeles";"losangeles"
"Andre Miller";"Andre Miller";"1976-03-19";"1976-03-19";"Los Angeles";"losangeles"
"Eric Gordon";"Eric Gordon";"1988-12-25";"1988-12-25";"Indianapolis";"indianapolis"
"Eric Gordon";"Eric Gordon";"1988-12-25";"1988-12-25";"Indianapolis";"indianapolis"
"Eric Gordon";"Eric Gordon";"1988-12-25";"1988-12-25";"Indianapolis";"indianapolis"
"Jordan Farmar";"Jordan Farmar";"1986-11-30";"1986-11-30";"Los Angeles";"losangeles"
"Jordan Farmar";"Jordan Farmar";"1986-11-30";"1986-11-30";"Los Angeles";"losangeles"
"Jordan Farmar";"Jordan Farmar";"1986-11-30";"1986-11-30";"Los Angeles";"losangeles"
"Robert Sacre";"Robert Sacre";"1989-06-06";"1989-06-06";"Baton Rouge";"batonrouge"
"Robert Sacre";"Robert Sacre";"1989-06-06";"1989-06-06";"Baton Rouge";"batonrouge"
"Robert Sacre";"Robert Sacre";"1989-06-06";"1989-06-06";"Baton Rouge";"batonrouge"
"Nikola Pekovi?";"Nikola Pekovic";"1986-01-03";"1986-01-03";"Bijelo Polje";"yugoslavia"
"Nikola Pekovi?";"Nikola Pekovic";"1986-01-03";"1986-01-03";"Bijelo Polje";"yugoslavia"
"Nikola Pekovi?";"Nikola Pekovic";"1986-01-03";"1986-01-03";"Bijelo Polje";"yugoslavia"
"Nate Robinson";"Nate Robinson";"1984-05-31";"1984-05-31";"Seattle";"seattle"
"Nate Robinson";"Nate Robinson";"1984-05-31";"1984-05-31";"Seattle";"seattle"
"Nate Robinson";"Nate Robinson";"1984-05-31";"1984-05-31";"Seattle";"seattle"
"Gerald Green";"Gerald Green";"1986-01-26";"1986-01-26";"Houston";"houston"
"Gerald Green";"Gerald Green";"1986-01-26";"1986-01-26";"Houston";"houston"
"Gerald Green";"Gerald Green";"1986-01-26";"1986-01-26";"Houston";"houston"
"Tobias Harris";"Tobias Harris";"1992-07-15";"1992-07-15";"Islip";"islip"
"Tobias Harris";"Tobias Harris";"1992-07-15";"1992-07-15";"Islip";"islip"
"Tobias Harris";"Tobias Harris";"1992-07-15";"1992-07-15";"Islip";"islip"
"Steve Nash";"Steve Nash";"1974-02-07";"1974-02-07";"Johannesburg";"southafrica"
"Steve Nash";"Steve Nash";"1974-02-07";"1974-02-07";"Johannesburg";"southafrica"
"Steve Nash";"Steve Nash";"1974-02-07";"1974-02-07";"Johannesburg";"southafrica"
"José Calderón";"Jose Calderon";"1981-09-28";"1981-09-28";"Villanueva de la Serena";"spain"
"José Calderón";"Jose Calderon";"1981-09-28";"1981-09-28";"Villanueva de la Serena";"spain"
"José Calderón";"Jose Calderon";"1981-09-28";"1981-09-28";"Villanueva de la Serena";"spain"
"Marvin Williams";"Marvin Williams";"1986-06-19";"1986-06-19";"Bremerton";"bremerton"
"Marvin Williams";"Marvin Williams";"1986-06-19";"1986-06-19";"Bremerton";"bremerton"
"Thaddeus Young";"Thaddeus Young";"1988-06-21";"1988-06-21";"New Orleans";"neworleans"
"Thaddeus Young";"Thaddeus Young";"1988-06-21";"1988-06-21";"New Orleans";"neworleans"
"Thaddeus Young";"Thaddeus Young";"1988-06-21";"1988-06-21";"New Orleans";"neworleans"
"Ed Davis";"Ed Davis";"1989-06-05";"1989-06-05";"Washington, D.C.";"washington"
"Ed Davis";"Ed Davis";"1989-06-05";"1989-06-05";"Washington, D.C.";"washington"
"Ed Davis";"Ed Davis";"1989-06-05";"1989-06-05";"Washington, D.C.";"washington"
"Udonis Haslem";"Udonis Haslem";"1980-06-09";"1980-06-09";"Miami";"miami"
"Udonis Haslem";"Udonis Haslem";"1980-06-09";"1980-06-09";"Miami";"miami"
"Udonis Haslem";"Udonis Haslem";"1980-06-09";"1980-06-09";"Miami";"miami"
"Jimmy Butler";"Jimmy Butler";"1989-09-14";"1989-09-14";"Houston";"houston"
"Jimmy Butler";"Jimmy Butler";"1989-09-14";"1989-09-14";"Houston";"houston"
"Jimmy Butler";"Jimmy Butler";"1989-09-14";"1989-09-14";"Houston";"houston"
"Austin Daye";"Austin Daye";"1988-06-05";"1988-06-05";"Irvine";"irvine"
"Austin Daye";"Austin Daye";"1988-06-05";"1988-06-05";"Irvine";"irvine"
"Luke Ridnour";"Luke Ridnour";"1981-02-13";"1981-02-13";"Coeur d'Alene";
"Luke Ridnour";"Luke Ridnour";"1981-02-13";"1981-02-13";"Coeur d'Alene";
